feature	id	template1	template2	CEBPA	CTCF	FOXA1	HNF1A	NR2F2	ONECUT1	PPARA	REST	XBP1
11	template1_class3_CEBPA_HNF1A_CTCF_REST	1	0	1	1	0	1	0	0	0	1	0
11	template1_class3_CEBPA_HNF1A_CTCF_XBP1	1	0	1	1	0	1	0	0	0	0	1
11	template1_class3_CEBPA_HNF1A_FOXA1_CTCF	1	0	1	1	1	1	0	0	0	0	0
11	template1_class3_CEBPA_HNF1A_FOXA1_NR2F2	1	0	1	0	1	1	1	0	0	0	0
11	template1_class3_CEBPA_HNF1A_FOXA1_ONECUT1	1	0	1	0	1	1	0	1	0	0	0
11	template1_class3_CEBPA_HNF1A_FOXA1_PPARA	1	0	1	0	1	1	0	0	1	0	0
11	template1_class3_CEBPA_HNF1A_FOXA1_REST	1	0	1	0	1	1	0	0	0	1	0
11	template1_class3_CEBPA_HNF1A_FOXA1_XBP1	1	0	1	0	1	1	0	0	0	0	1
11	template1_class3_CEBPA_HNF1A_NR2F2_CTCF	1	0	1	1	0	1	1	0	0	0	0
11	template1_class3_CEBPA_HNF1A_NR2F2_FOXA1	1	0	1	0	1	1	1	0	0	0	0
11	template1_class3_CEBPA_HNF1A_NR2F2_ONECUT1	1	0	1	0	0	1	1	1	0	0	0
11	template1_class3_CEBPA_HNF1A_NR2F2_PPARA	1	0	1	0	0	1	1	0	1	0	0
11	template1_class3_CEBPA_HNF1A_NR2F2_REST	1	0	1	0	0	1	1	0	0	1	0
11	template1_class3_CEBPA_HNF1A_NR2F2_XBP1	1	0	1	0	0	1	1	0	0	0	1
11	template1_class3_CEBPA_HNF1A_ONECUT1_CTCF	1	0	1	1	0	1	0	1	0	0	0
11	template1_class3_CEBPA_HNF1A_ONECUT1_FOXA1	1	0	1	0	1	1	0	1	0	0	0
11	template1_class3_CEBPA_HNF1A_ONECUT1_NR2F2	1	0	1	0	0	1	1	1	0	0	0
11	template1_class3_CEBPA_HNF1A_ONECUT1_PPARA	1	0	1	0	0	1	0	1	1	0	0
11	template1_class3_CEBPA_HNF1A_ONECUT1_REST	1	0	1	0	0	1	0	1	0	1	0
11	template1_class3_CEBPA_HNF1A_ONECUT1_XBP1	1	0	1	0	0	1	0	1	0	0	1
11	template1_class3_CEBPA_HNF1A_PPARA_CTCF	1	0	1	1	0	1	0	0	1	0	0
11	template1_class3_CEBPA_HNF1A_PPARA_FOXA1	1	0	1	0	1	1	0	0	1	0	0
11	template1_class3_CEBPA_HNF1A_PPARA_NR2F2	1	0	1	0	0	1	1	0	1	0	0
11	template1_class3_CEBPA_HNF1A_PPARA_ONECUT1	1	0	1	0	0	1	0	1	1	0	0
11	template1_class3_CEBPA_HNF1A_PPARA_REST	1	0	1	0	0	1	0	0	1	1	0
11	template1_class3_CEBPA_HNF1A_PPARA_XBP1	1	0	1	0	0	1	0	0	1	0	1
11	template1_class3_CEBPA_HNF1A_REST_CTCF	1	0	1	1	0	1	0	0	0	1	0
11	template1_class3_CEBPA_HNF1A_REST_FOXA1	1	0	1	0	1	1	0	0	0	1	0
11	template1_class3_CEBPA_HNF1A_REST_NR2F2	1	0	1	0	0	1	1	0	0	1	0
11	template1_class3_CEBPA_HNF1A_REST_ONECUT1	1	0	1	0	0	1	0	1	0	1	0
11	template1_class3_CEBPA_HNF1A_REST_PPARA	1	0	1	0	0	1	0	0	1	1	0
11	template1_class3_CEBPA_HNF1A_REST_XBP1	1	0	1	0	0	1	0	0	0	1	1
11	template1_class3_CEBPA_HNF1A_XBP1_CTCF	1	0	1	1	0	1	0	0	0	0	1
11	template1_class3_CEBPA_HNF1A_XBP1_FOXA1	1	0	1	0	1	1	0	0	0	0	1
