id	replicate	gDNA	ATAC	H3K27ac
template1_class2_2REST_2CEBPA	1	424	25	59
template1_class2_1REST_1CTCF	1	422	31	8
template1_class2_2REST_2CTCF	1	565	37	20
template1_class2_1REST_1FOXA1	1	739	72	8
template1_class2_2REST_2FOXA1	1	266	31	20
template1_class2_1REST_1HNF1A	1	515	74	21
template1_class2_2REST_2HNF1A	1	370	59	29
template1_class2_1REST_1NR2F2	1	1	2	8
template1_class2_2REST_2NR2F2	1	0	0	0
template1_class2_1REST_1ONECUT1	1	382	38	5
template1_class2_2REST_2ONECUT1	1	381	22	12
template1_class2_1REST_1PPARA	1	712	107	47
template1_class2_2REST_2PPARA	1	249	6	0
template1_class2_1REST_1XBP1	1	358	3	6
template1_class2_2REST_2XBP1	1	394	41	9
template1_class2_1XBP1_1CEBPA	1	569	27	64
template1_class2_2XBP1_2CEBPA	1	334	32	0
template1_class2_1XBP1_1CTCF	1	414	27	16
template1_class2_2XBP1_2CTCF	1	177	9	10
template1_class2_1XBP1_1FOXA1	1	971	53	72
template1_class2_2XBP1_2FOXA1	1	1251	55	85
template1_class2_1XBP1_1HNF1A	1	1018	117	43
template1_class2_2XBP1_2HNF1A	1	1005	116	50
template1_class2_1XBP1_1NR2F2	1	0	3	5
template1_class2_2XBP1_2NR2F2	1	0	0	0
template1_class2_1XBP1_1ONECUT1	1	639	45	35
template1_class2_2XBP1_2ONECUT1	1	716	87	50
template1_class2_1XBP1_1PPARA	1	480	71	48
template1_class2_2XBP1_2PPARA	1	279	17	14
template1_class2_1XBP1_1REST	1	611	23	11
template1_class2_2XBP1_2REST	1	149	5	0
template1_class3_CEBPA_CTCF_FOXA1_HNF1A	1	670	95	46
template1_class3_CEBPA_CTCF_FOXA1_NR2F2	1	41	23	20
template1_class3_CEBPA_CTCF_FOXA1_ONECUT1	1	723	149	31
template1_class3_CEBPA_CTCF_FOXA1_PPARA	1	713	65	37
template1_class3_CEBPA_CTCF_FOXA1_REST	1	450	21	21
template1_class3_CEBPA_CTCF_FOXA1_XBP1	1	705	132	99
template1_class3_CEBPA_CTCF_HNF1A_FOXA1	1	1210	140	138
template1_class3_CEBPA_CTCF_HNF1A_NR2F2	1	615	59	33
template1_class3_CEBPA_CTCF_HNF1A_ONECUT1	1	312	35	12
template1_class3_CEBPA_CTCF_HNF1A_PPARA	1	615	118	43
template1_class3_CEBPA_CTCF_HNF1A_REST	1	626	42	0
template1_class3_CEBPA_CTCF_HNF1A_XBP1	1	603	94	65
template1_class3_CEBPA_CTCF_NR2F2_FOXA1	1	360	33	40
template1_class3_CEBPA_CTCF_NR2F2_HNF1A	1	0	29	9
template1_class3_CEBPA_CTCF_NR2F2_ONECUT1	1	720	65	24
template1_class3_CEBPA_CTCF_NR2F2_PPARA	1	917	56	13
template1_class3_CEBPA_CTCF_NR2F2_REST	1	409	57	29
template1_class3_CEBPA_CTCF_NR2F2_XBP1	1	0	19	22
template1_class3_CEBPA_CTCF_ONECUT1_FOXA1	1	455	79	24
template1_class3_CEBPA_CTCF_ONECUT1_HNF1A	1	423	45	0
template1_class3_CEBPA_CTCF_ONECUT1_NR2F2	1	547	71	73
template1_class3_CEBPA_CTCF_ONECUT1_PPARA	1	773	46	46
template1_class3_CEBPA_CTCF_ONECUT1_REST	1	478	6	30
template1_class3_CEBPA_CTCF_ONECUT1_XBP1	1	389	20	17
template1_class3_CEBPA_CTCF_PPARA_FOXA1	1	392	18	6
template1_class3_CEBPA_CTCF_PPARA_HNF1A	1	606	74	23
template1_class3_CEBPA_CTCF_PPARA_NR2F2	1	382	35	17
template1_class3_CEBPA_CTCF_PPARA_ONECUT1	1	479	74	17
template1_class3_CEBPA_CTCF_PPARA_REST	1	414	58	20
template1_class3_CEBPA_CTCF_PPARA_XBP1	1	295	31	13
template1_class3_CEBPA_CTCF_REST_FOXA1	1	820	81	22
template1_class3_CEBPA_CTCF_REST_HNF1A	1	617	64	15
template1_class3_CEBPA_CTCF_REST_NR2F2	1	409	76	33
template1_class3_CEBPA_CTCF_REST_ONECUT1	1	620	30	18
template1_class3_CEBPA_CTCF_REST_PPARA	1	433	19	16
template1_class3_CEBPA_CTCF_REST_XBP1	1	601	50	13
template1_class3_CEBPA_CTCF_XBP1_FOXA1	1	616	20	42
template1_class3_CEBPA_CTCF_XBP1_HNF1A	1	716	132	62
template1_class3_CEBPA_CTCF_XBP1_NR2F2	1	459	83	60
template1_class3_CEBPA_CTCF_XBP1_ONECUT1	1	527	87	10
template1_class3_CEBPA_CTCF_XBP1_PPARA	1	296	55	28
template1_class3_CEBPA_CTCF_XBP1_REST	1	361	7	9
template1_class3_CEBPA_FOXA1_CTCF_HNF1A	1	429	74	41
template1_class3_CEBPA_FOXA1_CTCF_NR2F2	1	490	80	13
template1_class3_CEBPA_FOXA1_CTCF_ONECUT1	1	551	28	36
template1_class3_CEBPA_FOXA1_CTCF_PPARA	1	266	26	16
template1_class3_CEBPA_FOXA1_CTCF_REST	1	614	19	31
template1_class3_CEBPA_FOXA1_CTCF_XBP1	1	584	6	52
template1_class3_CEBPA_FOXA1_HNF1A_CTCF	1	854	127	100
template1_class3_CEBPA_FOXA1_HNF1A_NR2F2	1	44	53	27
template1_class3_CEBPA_FOXA1_HNF1A_ONECUT1	1	456	67	37
template1_class3_CEBPA_FOXA1_HNF1A_PPARA	1	642	57	58
template1_class3_CEBPA_FOXA1_HNF1A_REST	1	702	153	36
template1_class3_CEBPA_FOXA1_HNF1A_XBP1	1	549	58	19
template1_class3_CEBPA_FOXA1_NR2F2_CTCF	1	877	108	58
template1_class3_CEBPA_FOXA1_NR2F2_HNF1A	1	1	7	8
template1_class3_CEBPA_FOXA1_NR2F2_ONECUT1	1	235	84	32
template1_class3_CEBPA_FOXA1_NR2F2_PPARA	1	461	30	26
template1_class3_CEBPA_FOXA1_NR2F2_REST	1	57	17	4
template1_class3_CEBPA_FOXA1_NR2F2_XBP1	1	0	7	0
template1_class3_CEBPA_FOXA1_ONECUT1_CTCF	1	175	32	0
template1_class3_CEBPA_FOXA1_ONECUT1_HNF1A	1	198	15	18
template1_class3_CEBPA_FOXA1_ONECUT1_NR2F2	1	34	56	49
template1_class3_CEBPA_FOXA1_ONECUT1_PPARA	1	269	22	17
template1_class3_CEBPA_FOXA1_ONECUT1_REST	1	315	17	10
template1_class3_CEBPA_FOXA1_ONECUT1_XBP1	1	1021	79	65
template1_class3_CEBPA_FOXA1_PPARA_CTCF	1	412	42	22
template1_class3_CEBPA_FOXA1_PPARA_HNF1A	1	451	54	38
template1_class3_CEBPA_FOXA1_PPARA_NR2F2	1	529	22	48
template1_class3_CEBPA_FOXA1_PPARA_ONECUT1	1	800	90	28
template1_class3_CEBPA_FOXA1_PPARA_REST	1	602	56	19
template1_class3_CEBPA_FOXA1_PPARA_XBP1	1	685	87	52
template1_class3_CEBPA_FOXA1_REST_CTCF	1	452	9	25
template1_class3_CEBPA_FOXA1_REST_HNF1A	1	1055	121	55
template1_class3_CEBPA_FOXA1_REST_NR2F2	1	82	4	13
template1_class3_CEBPA_FOXA1_REST_ONECUT1	1	221	25	0
template1_class3_CEBPA_FOXA1_REST_PPARA	1	610	104	13
template1_class3_CEBPA_FOXA1_REST_XBP1	1	443	24	0
template1_class3_CEBPA_FOXA1_XBP1_CTCF	1	534	88	43
template1_class3_CEBPA_FOXA1_XBP1_HNF1A	1	481	107	64
template1_class3_CEBPA_FOXA1_XBP1_NR2F2	1	48	48	69
template1_class3_CEBPA_FOXA1_XBP1_ONECUT1	1	525	61	64
template1_class3_CEBPA_FOXA1_XBP1_PPARA	1	297	27	4
template1_class3_CEBPA_FOXA1_XBP1_REST	1	653	102	35
